Rk,Score,PtsW,PtsL
1105,66-41,66,41
1106,66-42,66,42
1107,66-43,66,43
1108,66-44,66,44
1109,66-45,66,45
1110,66-46,66,46
1111,66-47,66,47
1112,66-48,66,48
1113,66-49,66,49
1114,66-50,66,50
1115,66-51,66,51
1116,66-52,66,52
1117,66-53,66,53
1118,66-54,66,54
1119,66-55,66,55
1120,66-56,66,56
1121,66-57,66,57
1122,66-58,66,58
1123,66-59,66,59
1124,66-60,66,60
1125,66-61,66,61
1126,66-62,66,62
1127,66-63,66,63
1128,66-64,66,64
1129,66-65,66,65
1130,66-66,66,66
1131,67-0,67,0
1132,67-2,67,2
1133,67-3,67,3
1134,67-4,67,4
1135,67-5,67,5
1136,67-6,67,6
1137,67-7,67,7
1138,67-8,67,8
1139,67-9,67,9
1140,67-10,67,10
1141,67-11,67,11
1142,67-12,67,12
1143,67-13,67,13
1144,67-14,67,14
1145,67-15,67,15
1146,67-16,67,16
1147,67-17,67,17
1148,67-18,67,18
1149,67-19,67,19
1150,67-20,67,20
1151,67-21,67,21
1152,67-22,67,22
1153,67-23,67,23
1154,67-24,67,24
1155,67-25,67,25
1156,67-26,67,26
1157,67-27,67,27
1158,67-28,67,28
1159,67-29,67,29
1160,67-30,67,30
1161,67-31,67,31
1162,67-32,67,32
1163,67-33,67,33
1164,67-34,67,34
1165,67-35,67,35
1166,67-36,67,36
1167,67-37,67,37
1168,67-38,67,38
1169,67-39,67,39
1170,67-40,67,40
1171,67-41,67,41
1172,67-42,67,42
1173,67-43,67,43
1174,67-44,67,44
1175,67-45,67,45
1176,67-46,67,46
1177,67-47,67,47
1178,67-48,67,48
1179,67-49,67,49
1180,67-50,67,50
1181,67-51,67,51
1182,67-52,67,52
1183,67-53,67,53
1184,67-54,67,54
1185,67-55,67,55
1186,67-56,67,56
1187,67-57,67,57
1188,67-58,67,58
1189,67-59,67,59
1190,67-60,67,60
1191,67-61,67,61
1192,67-62,67,62
1193,67-63,67,63
1194,67-64,67,64
1195,67-65,67,65
1196,67-66,67,66
1197,67-67,67,67
1198,68-0,68,0
1199,68-2,68,2
1200,68-3,68,3
1201,68-4,68,4
1202,68-5,68,5
1203,68-6,68,6
1204,68-7,68,7
1205,68-8,68,8
1206,68-9,68,9
1207,68-10,68,10
1208,68-11,68,11
1209,68-12,68,12
1210,68-13,68,13
1211,68-14,68,14
1212,68-15,68,15
1213,68-16,68,16
1214,68-17,68,17
1215,68-18,68,18
1216,68-19,68,19
1217,68-20,68,20
1218,68-21,68,21
1219,68-22,68,22
1220,68-23,68,23
1221,68-24,68,24
1222,68-25,68,25
1223,68-26,68,26
1224,68-27,68,27
1225,68-28,68,28
1226,68-29,68,29
1227,68-30,68,30
1228,68-31,68,31
1229,68-32,68,32
1230,68-33,68,33
1231,68-34,68,34
1232,68-35,68,35
1233,68-36,68,36
1234,68-37,68,37
1235,68-38,68,38
1236,68-39,68,39
1237,68-40,68,40
1238,68-41,68,41
1239,68-42,68,42
1240,68-43,68,43
1241,68-44,68,44
1242,68-45,68,45
1243,68-46,68,46
1244,68-47,68,47
1245,68-48,68,48
1246,68-49,68,49
1247,68-50,68,50
1248,68-51,68,51
1249,68-52,68,52
1250,68-53,68,53
1251,68-54,68,54
1252,68-55,68,55
1253,68-56,68,56
1254,68-57,68,57
1255,68-58,68,58
1256,68-59,68,59
1257,68-60,68,60
1258,68-61,68,61
1259,68-62,68,62
1260,68-63,68,63
1261,68-64,68,64
1262,68-65,68,65
1263,68-66,68,66
1264,68-67,68,67
1265,68-68,68,68
1266,69-0,69,0
1267,69-2,69,2
1268,69-3,69,3
1269,69-4,69,4
1270,69-5,69,5
1271,69-6,69,6
1272,69-7,69,7
1273,69-8,69,8
1274,69-9,69,9
1275,69-10,69,10
1276,69-11,69,11
1277,69-12,69,12
1278,69-13,69,13
1279,69-14,69,14
1280,69-15,69,15
1281,69-16,69,16
1282,69-17,69,17
1283,69-18,69,18
1284,69-19,69,19
1285,69-20,69,20
1286,69-21,69,21
1287,69-22,69,22
1288,69-23,69,23
1289,69-24,69,24
1290,69-25,69,25
1291,69-26,69,26
1292,69-27,69,27
1293,69-28,69,28
1294,69-29,69,29
1295,69-30,69,30
1296,69-31,69,31
1297,69-32,69,32
1298,69-33,69,33
1299,69-34,69,34
1300,69-35,69,35
1301,69-36,69,36
1302,69-37,69,37
1303,69-38,69,38
1304,69-39,69,39
1305,69-40,69,40
1306,69-41,69,41
1307,69-42,69,42
1308,69-43,69,43
1309,69-44,69,44
1310,69-45,69,45
1311,69-46,69,46
1312,69-47,69,47
1313,69-48,69,48
1314,69-49,69,49
1315,69-50,69,50
1316,69-51,69,51
1317,69-52,69,52
1318,69-53,69,53
1319,69-54,69,54
1320,69-55,69,55
1321,69-56,69,56
1322,69-57,69,57
1323,69-58,69,58
1324,69-59,69,59
1325,69-60,69,60
1326,69-61,69,61
1327,69-62,69,62
